日期,开盘,最高,最低,收盘,成交量,成交额
2024-01-02,1800.0,1804.07,1769.35,1786.8,1107639,1979129365.2
2024-01-03,1786.8,1838.51,1771.18,1835.92,4756679,8732882109.68
2024-01-04,1835.92,1838.29,1797.09,1808.43,2518827,4555122311.61
2024-01-05,1808.43,1819.95,1743.76,1765.66,1538526,2716513817.16
2024-01-08,1765.66,1847.1,1750.22,1829.79,1018936,1864438903.44
2024-01-09,1829.79,1859.81,1802.99,1848.81,890763,1646851542.03
2024-01-10,1848.81,1869.12,1837.19,1865.39,5035601,9393359749.39
2024-01-11,1865.39,1874.02,1802.47,1824.81,2016042,3678893602.02
2024-01-12,1824.81,1840.45,1778.2,1783.23,1317306,2349059578.38
2024-01-15,1783.23,1799.8,1781.64,1798.11,2227706,4005660435.66
2024-01-16,1798.11,1821.06,1777.15,1806.65,4405751,7959650044.15
2024-01-17,1806.65,1838.92,1798.53,1826.5,7163738,13084567457.0
2024-01-18,1826.5,1847.87,1792.49,1794.69,3018672,5417580451.68
2024-01-19,1794.69,1830.55,1775.05,1806.83,2915397,5267626761.51
2024-01-22,1806.83,1831.66,1792.96,1829.65,1883802,3446698329.3
2024-01-23,1829.65,1876.0,1816.23,1871.73,828894,1551465766.62
2024-01-24,1871.73,1943.88,1856.06,1941.62,7119401,13823171369.62
2024-01-25,1941.62,2011.78,1921.37,2002.36,5485935,10984816806.6
2024-01-26,2002.36,2035.96,2000.29,2011.91,1285140,2585586017.4
2024-01-29,2011.91,2099.42,1991.87,2084.6,1008932,2103219647.2
2024-01-30,2084.6,2138.64,2066.53,2128.75,6214631,13229395741.25
2024-01-31,2128.75,2196.7,2116.43,2187.36,6109065,13362724418.4
2024-02-01,2187.36,2218.22,2163.27,2174.87,5624764,12233130480.68
2024-02-02,2174.87,2176.79,2102.93,2127.45,1584984,3371974210.8
2024-02-05,2127.45,2186.55,2098.19,2173.58,4665000,10139750700.0
2024-02-06,2173.58,2188.23,2103.15,2120.63,7910360,16774946726.8
