日期,开盘,最高,最低,收盘,成交量,成交额
2024-01-02,45.0,45.14,44.8,44.92,2583992,116072920.64
2024-01-03,44.92,44.98,43.51,43.99,4952778,217872704.22
2024-01-04,43.99,45.14,43.37,44.78,4604335,206182121.3
2024-01-05,44.78,45.27,43.67,44.06,7148928,314981767.68
2024-01-08,44.06,45.78,43.8,45.52,6224124,283322124.48
2024-01-09,45.52,45.84,44.71,44.83,5255627,235609758.41
2024-01-10,44.83,45.47,44.2,44.55,6996755,311705435.25
2024-01-11,44.55,44.76,43.46,43.49,5180440,225297335.6
2024-01-12,43.49,43.62,41.58,42.21,4982117,210295158.57
2024-01-15,42.21,42.54,41.06,41.18,4381412,180426546.16
2024-01-16,41.18,42.99,41.05,42.76,6499066,277900062.16
2024-01-17,42.76,43.27,41.59,41.96,1990030,83501658.8
2024-01-18,41.96,43.9,41.94,43.47,695486,30232776.42
2024-01-19,43.47,43.92,42.42,42.69,4068683,173692077.27
2024-01-22,42.69,43.39,42.29,43.3,3696575,160061697.5
2024-01-23,43.3,43.64,42.87,43.0,7103645,305456735.0
2024-01-24,43.0,45.07,42.71,44.64,5075741,226581078.24
2024-01-25,44.64,45.15,44.32,44.56,6330073,282068052.88
2024-01-26,44.56,44.75,44.07,44.71,6526070,291780589.7
2024-01-29,44.71,45.76,44.3,45.25,3925064,177609146.0
2024-01-30,45.25,45.33,44.09,44.29,1990198,88145869.42
2024-01-31,44.29,44.9,43.65,44.23,3176859,140512473.57
2024-02-01,44.23,45.83,43.67,45.29,1483256,67176664.24
2024-02-02,45.29,46.9,44.83,46.65,4704645,219471689.25
2024-02-05,46.65,47.06,46.16,46.19,2314641,106913267.79
2024-02-06,46.19,46.42,45.46,46.02,3737499,171999703.98
2024-02-07,46.02,46.28,45.91,45.97,7878354,362167933.38
2024-02-08,45.97,46.23,44.14,44.71,6966120,311455225.2
2024-02-09,44.71,44.97,44.27,44.76,5980811,267701100.36
2024-02-12,44.76,45.74,44.3,45.67,3133459,143105072.53
2024-02-13,45.67,46.22,44.54,45.0,2594808,116766360.0
2024-02-14,45.0,45.3,44.21,44.86,7903134,354534591.24
2024-02-15,44.86,45.54,44.69,44.89,4720733,211913704.37
2024-02-16,44.89,45.35,44.25,44.46,4502191,200167411.86
2024-02-19,44.46,45.41,44.29,44.79,7895219,353626859.01
2024-02-20,44.79,45.44,43.81,44.36,1837310,81503071.6
2024-02-21,44.36,44.81,43.51,43.91,5689715,249835385.65
2024-02-22,43.91,44.93,43.66,44.64,7944728,354652657.92
2024-02-23,44.64,44.64,43.69,43.92,2978005,130793979.6
2024-02-26,43.92,45.7,43.48,45.57,1939978,88404797.46
2024-02-27,45.57,46.9,45.29,46.72,6813692,318335690.24
2024-02-28,46.72,48.32,46.12,48.15,3398569,163641097.35
2024-02-29,48.15,48.92,47.79,48.92,2198675,107559181.0
2024-03-01,48.92,49.15,46.98,47.46,6770860,321345015.6
2024-03-04,47.46,49.71,46.89,49.33,2222152,109618758.16
2024-03-05,49.33,49.96,48.46,48.76,5200751,253588618.76
2024-03-06,48.76,49.57,48.3,49.11,6917634,339725005.74
2024-03-07,49.11,49.93,48.57,49.72,1382074,68716719.28
2024-03-08,49.72,51.09,49.7,51.03,989158,50476732.74
2024-03-11,51.03,51.31,50.56,50.99,6463594,329578658.06
2024-03-12,50.99,51.79,50.41,51.56,7745312,399348286.72
2024-03-13,51.56,53.2,51.43,52.88,4365657,230855942.16
2024-03-14,52.88,53.58,51.8,52.51,7780677,408563349.27
2024-03-15,52.51,54.63,52.18,54.06,6498221,351293827.26
2024-03-18,54.06,54.26,52.89,53.11,5303850,281687473.5
2024-03-19,53.11,55.23,52.96,54.66,4519598,247041226.68
2024-03-20,54.66,55.73,53.91,55.21,6078526,335595420.46
2024-03-21,55.21,55.27,54.02,54.21,4357686,236230158.06
2024-03-22,54.21,54.66,53.56,54.57,1105189,60310163.73
2024-03-25,54.57,55.17,53.76,54.22,4971229,269540036.38
